Script started on 2025-11-15 13:38:29+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
 1611441     1262     5321   99.92%           33       5655
 1611952     1290     5548   99.92%           33       5665
 1584301     1249     5388   99.92%           33       5675
 1573600     1264     5412   99.92%           33       5685
 1581017     1258     5459   99.92%           33       5695
 1598741     1240     5320   99.92%           33       5704
 1453788    42850    46702   97.14%           33       6039
 1611138    69570    31281   95.86%           33       5865
 1697786    30314    33585   98.25%           33       5971
 1760980    30415    34218   98.30%           33       6078
 1719261    32257    36257   98.16%           33       6267
 1671184    34414    38077   97.98%           33       6405
 1685195    32778    36007   98.09%           33       6474
 1549284   109901    27703   93.38%           33       6005
 1473481   104172    15407   93.40%           33       5809
 1523060    26926    15057   98.26%           33       5893
 1580314    14293    15463   99.10%           33       5993
 1542259    12453    15617   99.20%           33       6023
 1513011    33511    14984   97.83%           33       5747
 1523596    32249    15701   97.93%           33       5919
 1572252    15351    14915   99.03%           33       5956
 1534087    12773    15605   99.17%           33       5987
 1544562    12051    15783   99.23%           33       6080
 1483065    35074    14662   97.69%           33       5809
 1511468    30575    15574   98.02%           33       5973
 1504618    14865    14613   99.02%           33       6008
 1501690    12588    15425   99.17%           33       6037
 1529179    11978    15806   99.22%           33       6130
 1550563    11535    15580   99.26%           33       6155
 1528915    11779    15989   99.24%           33       6247
 1528196    11401    15329   99.26%           33       6272
 1441550    43098    15138   97.10%           33       5777
 1431427    49518    15663   96.66%           33       6016
 1473778    19701    14870   98.68%           33       6071
 1470711    13882    15440   99.06%           33       6105
 1494711    12529    16068   99.17%           33       6201
 1472645    11385    15191   99.23%           33       6225
 1460671    12022    16026   99.18%           33       6318
 1474041    11407    15440   99.23%           33       6343
 1409957    45367    28481   96.88%           33       6551
 1349012   108817    42959   92.54%           33       6004
 1618459    37826    14791   97.72%           33       6130
 1634219    15825    15656   99.04%           33       6238
 1639228    12010    15006   99.27%           33       6263
 1604319    25944    12109   98.41%           33       5947
 1642836    24925     5491   98.51%           33       6049
 1646302     7153     5477   99.57%           33       6082
 1671484     2926     5491   99.83%           33       6099
 1650765     1678     5452   99.90%           33       6110
 1641790     1411     5494   99.91%           33       6120
 1669796     1291     5477   99.92%           33       6131
 1667610     1335     5694   99.92%           33       6141
 1669868     1289     5558   99.92%           33       6151
 1646071     1270     5508   99.92%           33       6161
 1618463     1248     5357   99.92%           33       6171
 1637262     1250     5430   99.92%           33       6181
 1629356     1250     5448   99.92%           33       6190
 1665857     1286     5600   99.92%           33       6200
 1626493     1247     5411   99.92%           33       6210
 1631260     1254     5382   99.92%           33       6220
 1649039     1272     5461   99.92%           33       6230
 1634338     1253     5432   99.92%           33       6240
 1614989     1265     5472   99.92%           33       6250
 1631705     1244     5362   99.92%           33       6259
 1598250     1209     5188   99.92%           33       6269
 1605115     1262     5469   99.92%           33       6279
 1614856     1248     5374   99.92%           33       6288
 1606208     1252     5369   99.92%           33       6298
 1580057     1201     5195   99.92%           33       6307
 1606396     1255     5433   99.92%           33       6317
 1614267     1237     5255   99.92%           33       6327
 1611617     1244     5361   99.92%           33       6337
 1549842    13631    17643   99.13%           33       6443
 1505540    78517    42214   95.04%           33       6416
 1697524    29141    31661   98.31%           33       6510
 1696474    30851    34528   98.21%           33       6686
 1687729    30013    33299   98.25%           33       6790
 1747266    29818    33383   98.32%           33       6893
 1720092    30114    33983   98.28%           33       7017
 1692092    30028    33450   98.26%           33       7122
 1584731    91510    27421   94.54%           34       6630
