Script started on 2025-11-15 12:43:10+00:00 [<not executed on terminal>]
    HITS   MISSES  DIRTIES HITRATIO   BUFFERS_MB  CACHED_MB
 1650942     1232     8703   99.93%           79       7309
 1641199     1520     8633   99.91%           79       7323
 1666163     1486     8923   99.91%           79       7336
 1659518     1454     8439   99.91%           79       7350
 1666006     1412     8996   99.92%           79       7363
 1623570     1234     8732   99.92%           79       7375
 1603982     1292     8226   99.92%           80       7388
 1640769     1255     8645   99.92%           80       7400
 1607074     1204     8288   99.93%           80       7412
 1533396    36901    44358   97.65%           80       7703
 1596679    65230    35348   96.07%           80       7512
 1712620    27988    36120   98.39%           80       7674
 1749122    25795    35795   98.55%           80       7760
 1740234    27569    35887   98.44%           80       7921
 1743071    26695    34845   98.49%           80       8008
 1755647    26583    34456   98.51%           80       8093
 1714104    28379    36140   98.37%           80       8261
 1758582    25865    33743   98.55%           80       8317
  850441   152052    40514   84.83%           80       7407
 1406192    57150    30902   96.09%           80       7626
 1600809    21875    21306   98.65%           80       7761
 1597103    12768    18345   99.21%           80       7790
 1599431    11464    18252   99.29%           80       7881
 1539643    48503    22526   96.95%           80       7669
 1558019    19176    19125   98.78%           80       7725
 1611017    12670    18522   99.22%           80       7820
 1581890    11050    17757   99.31%           80       7842
 1609592    11313    18661   99.30%           80       7933
 1478836    44283    21607   97.09%           80       7701
 1550523    22414    19422   98.58%           80       7772
 1539333    14047    18848   99.10%           80       7873
 1581359    11471    17853   99.28%           80       7898
 1552930    11335    18273   99.28%           80       7988
 1483614    37868    20782   97.51%           80       7732
 1513650    28102    20245   98.18%           80       7890
 1504146    14448    18262   99.05%           80       7926
 1547268    11404    17749   99.27%           80       7950
 1502664     9686    20361   99.36%           80       8044
 1478796    29019    23416   98.08%           80       7766
 1478479    30558    25436   97.97%           80       7944
 1489027    15412    17790   98.98%           80       7984
 1486636    12547    18332   99.16%           80       8080
 1423175    33235    39501   97.72%           80       8276
 1338180    68060    42449   95.16%           80       7726
 1581447    41240    17001   97.46%           80       7903
 1715381     8366    10408   99.51%           80       7945
 1682820     2964     9101   99.82%           80       7965
 1684512     1936     8790   99.89%           80       7980
 1719538     1575     8938   99.91%           80       7994
 1698233     1457     8628   99.91%           80       8007
 1731986     1240     8826   99.93%           80       8019
 1684566     1176     8379   99.93%           80       8031
 1715788     1449     8950   99.92%           80       8044
 1702439     1227     8371   99.93%           80       8056
 1718043     1248     8757   99.93%           80       8069
 1682370     1889     8612   99.89%           80       8084
 1687932     1200     8665   99.93%           80       8096
 1698232      532     9339   99.97%           80       8108
 1669271        0    10677  100.00%           80       8120
 1688316        0    10182  100.00%           80       8134
 1667512       32     9667  100.00%           80       8146
 1705762      205     9810   99.99%           80       8158
 1649568      610     9375   99.96%           80       8171
 1710457      538     8991   99.97%           80       8183
 1657651      715     9322   99.96%           80       8196
 1646807     1308    12264   99.92%           80       8212
 1696967     1340     8536   99.92%           80       8225
 1644440     1483     8420   99.91%           80       8239
 1672364     1246     8399   99.93%           80       8251
 1648725     1196     8482   99.93%           80       8263
 1694349     1196     8632   99.93%           80       8275
 1643351     1678     8387   99.90%           80       8288
 1688625     1464     8436   99.91%           80       8302
 1661329     1202     8338   99.93%           80       8314
 1578377    27072    34121   98.31%           80       8527
 1500447    70101    40418   95.54%           80       8440
 1776538    26337    33296   98.54%           80       8519
 1782264    28397    35511   98.43%           80       8679
 1747306    27450    33984   98.45%           80       8766
 1777535    25722    33052   98.57%           81       8840
 1737185    29515    36365   98.33%           81       9007
 1776663    27935    34990   98.45%           81       9116
 1777927    26957    33625   98.51%           81       9198
 1090042   123978    43349   89.79%           81       8176
 1218299    72470    34200   94.39%           81       8464
 1590876    28004    25606   98.27%           81       8628
 1569437    14024    18257   99.11%           81       8662
 1589601    12006    18669   99.25%           81       8756
 1635863    11126    17895   99.32%           81       8779
 1599270    11420    18462   99.29%           81       8869
 1608436    10874    17812   99.33%           81       8891
 1529758    27080    19358   98.26%           81       8426
 1484378    59253    24264   96.16%           81       8618
 1545545    22057    18902   98.59%           81       8685
 1560724    14144    19002   99.10%           81       8786
 1542295    11922    18020   99.23%           81       8813
 1598362    11529    18443   99.28%           81       8903
 1456070    49645    20408   96.70%           81       8692
