Linux 5.15.0 (noslab-gpu) 	11/20/2025 	_x86_64_	(40 CPU)

01:08:27 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:08:31 PM    1    4.00    0.00   93.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
01:08:31 PM    2    2.02    0.00   97.98    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:31 PM    3    2.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
01:08:31 PM    4    1.98    0.00   95.05    0.00    0.00    0.00    0.00    0.00    0.00    2.97
01:08:31 PM    5    3.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:31 PM    6    1.00    0.00   96.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
01:08:31 PM    7    1.01    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:31 PM    8    1.00    0.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:31 PM    9    2.00    0.00   92.00    0.00    0.00    0.00    0.00    0.00    0.00    6.00
01:08:31 PM   10    3.00    0.00   71.00    0.00    0.00    0.00    0.00    0.00    0.00   26.00
01:08:31 PM   11    8.16    0.00   64.29    0.00    0.00    0.00    0.00    0.00    0.00   27.55
01:08:31 PM   12    2.00    0.00   66.00    0.00    0.00    0.00    0.00    0.00    0.00   32.00
01:08:31 PM   13    6.00    0.00   74.00    0.00    0.00    0.00    0.00    0.00    0.00   20.00
01:08:31 PM   14    6.06    0.00   61.62    0.00    0.00    0.00    0.00    0.00    0.00   32.32
01:08:31 PM   15    4.04    0.00   76.77    0.00    0.00    0.00    0.00    0.00    0.00   19.19
01:08:31 PM   16    5.00    0.00   76.00    0.00    0.00    0.00    0.00    0.00    0.00   19.00
01:08:31 PM   17    3.00    0.00   61.00    0.00    0.00    0.00    0.00    0.00    0.00   36.00
01:08:31 PM   18    7.00    0.00   77.00    0.00    0.00    0.00    0.00    0.00    0.00   16.00
01:08:31 PM   19    2.02    0.00   78.79    0.00    0.00    0.00    0.00    0.00    0.00   19.19
01:08:31 PM   20    1.01    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:31 PM   21    2.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
01:08:31 PM   22    1.00    0.00   98.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
01:08:31 PM   23    5.05    0.00   92.93    0.00    0.00    0.00    0.00    0.00    0.00    2.02
01:08:31 PM   24    2.00    0.00   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:31 PM   25    2.00    0.00   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:31 PM   26    3.00    0.00   93.00    0.00    0.00    0.00    0.00    0.00    0.00    4.00
01:08:31 PM   27    3.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:31 PM   28    2.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
01:08:31 PM   29    0.00    0.00   98.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
01:08:31 PM   30   10.10    0.00   65.66    0.00    0.00    0.00    0.00    0.00    0.00   24.24
01:08:31 PM   31    4.12    0.00   68.04    0.00    0.00    0.00    0.00    0.00    0.00   27.84
01:08:31 PM   32   11.11    0.00   52.53    0.00    0.00    0.00    0.00    0.00    0.00   36.36
01:08:31 PM   33    8.91    0.00   71.29    0.00    0.00    0.00    0.00    0.00    0.00   19.80
01:08:31 PM   34    5.05    0.00   74.75    0.00    0.00    0.00    0.00    0.00    0.00   20.20
01:08:31 PM   35    6.06    0.00   58.59    0.00    0.00    0.00    0.00    0.00    0.00   35.35
01:08:31 PM   36    4.00    0.00   69.00    0.00    0.00    0.00    0.00    0.00    0.00   27.00
01:08:31 PM   37    6.19    0.00   67.01    0.00    0.00    0.00    0.00    0.00    0.00   26.80
01:08:31 PM   38    8.08    0.00   65.66    0.00    0.00    0.00    0.00    0.00    0.00   26.26
01:08:31 PM   39    4.00    0.00   71.00    0.00    0.00    0.00    0.00    0.00    0.00   25.00

01:08:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:08:32 PM  all    4.23    0.00   82.39    0.00    0.00    0.00    0.00    0.00    0.00   13.38
01:08:32 PM    0    3.96    0.00   93.07    0.00    0.00    0.00    0.00    0.00    0.00    2.97
01:08:32 PM    1    1.00    0.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:32 PM    2    2.00    0.00   94.00    0.00    0.00    0.00    0.00    0.00    0.00    4.00
01:08:32 PM    3    1.01    0.00   97.98    0.00    0.00    0.00    0.00    0.00    0.00    1.01
01:08:32 PM    4    1.01    0.00   96.97    0.00    0.00    0.00    0.00    0.00    0.00    2.02
01:08:32 PM    5    1.00    0.00   98.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
01:08:32 PM    6    1.01    0.00   98.99    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:32 PM    7    4.95    0.00   91.09    0.00    0.00    0.00    0.00    0.00    0.00    3.96
01:08:32 PM    8    3.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:32 PM    9    4.00    0.00   96.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:32 PM   10    3.96    0.00   72.28    0.00    0.00    0.00    0.00    0.00    0.00   23.76
01:08:32 PM   11    8.25    0.00   53.61    0.00    0.00    0.00    0.00    0.00    0.00   38.14
01:08:32 PM   12    8.08    0.00   69.70    0.00    0.00    0.00    0.00    0.00    0.00   22.22
01:08:32 PM   13    3.92    0.00   70.59    0.00    0.00    0.00    0.00    0.00    0.00   25.49
01:08:32 PM   14    1.98    0.00   77.23    0.00    0.00    0.00    0.00    0.00    0.00   20.79
01:08:32 PM   15    6.93    0.00   77.23    0.00    0.00    0.00    0.00    0.00    0.00   15.84
01:08:32 PM   16    2.02    0.00   74.75    0.00    0.00    0.00    0.00    0.00    0.00   23.23
01:08:32 PM   17    5.05    0.00   72.73    0.00    0.00    0.00    0.00    0.00    0.00   22.22
01:08:32 PM   18   15.15    0.00   68.69    0.00    0.00    0.00    0.00    0.00    0.00   16.16
01:08:32 PM   19    3.00    0.00   70.00    0.00    0.00    0.00    0.00    0.00    0.00   27.00
01:08:32 PM   20    3.00    0.00   96.00    0.00    0.00    0.00    0.00    0.00    0.00    1.00
01:08:32 PM   21    1.00    0.00   94.00    0.00    0.00    0.00    0.00    0.00    0.00    5.00
01:08:32 PM   22    2.00    0.00   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:32 PM   23    1.00    0.00   99.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:32 PM   24    2.97    0.00   97.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:32 PM   25    2.00    0.00   98.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:32 PM   26    3.00    0.00   94.00    0.00    0.00    0.00    0.00    0.00    0.00    3.00
01:08:32 PM   27    1.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
01:08:32 PM   28    2.00    0.00   96.00    0.00    0.00    0.00    0.00    0.00    0.00    2.00
01:08:32 PM   29    3.00    0.00   97.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
01:08:32 PM   30    5.05    0.00   67.68    0.00    0.00    0.00    0.00    0.00    0.00   27.27
01:08:32 PM   31   11.88    0.00   44.55    0.00    0.00    0.00    0.00    0.00    0.00   43.56
01:08:32 PM   32    8.00    0.00   59.00    0.00    0.00    0.00    0.00    0.00    0.00   33.00
01:08:32 PM   33    3.00    0.00   75.00    0.00    0.00    0.00    0.00    0.00    0.00   22.00
01:08:32 PM   34    9.09    0.00   62.63    0.00    0.00    0.00    0.00    0.00    0.00   28.28
01:08:32 PM   35    7.07    0.00   67.68    0.00    0.00    0.00    0.00    0.00    0.00   25.25
01:08:32 PM   36    5.00    0.00   73.00    0.00    0.00    0.00    0.00    0.00    0.00   22.00
01:08:32 PM   37    5.88    0.00   74.51    0.00    0.00    0.00    0.00    0.00    0.00   19.61
01:08:32 PM   38    7.07    0.00   55.56    0.00    0.00    0.00    0.00    0.00    0.00   37.37
01:08:32 PM   39    4.95    0.00   80.20    0.00    0.00    0.00    0.00    0.00    0.00   14.85

01:08:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
